object_id,curiosity_text,source_label,source_url,verified
"messier-M9","M9 si trova insolitamente vicino al centro galattico. La gravità della Via Lattea ne ha deformato la forma, rendendolo meno sferico di molti altri globulari osservati nelle regioni esterne dell'alone.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-9/",1
"messier-M10","M10 contiene numerose blue straggler, stelle che appaiono troppo calde e luminose per l'età dell'ammasso. Collisioni e scambi di materia in sistemi binari possono averne riacceso l'evoluzione.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-10/",1
"messier-M11","Il nome Ammasso dell'Anatra Selvatica nasce da una disposizione a V delle stelle più brillanti, descritta nell'Ottocento. Dietro quella sagoma, M11 è uno degli ammassi aperti più ricchi e compatti conosciuti.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-11/",1
"messier-M12","M12 sembra aver perso moltissime stelle di piccola massa. Durante i ripetuti passaggi nel disco della Via Lattea, le maree galattiche avrebbero strappato dall'ammasso fino a circa un milione di stelle di piccola massa.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-12/",1
"messier-M13","Nel 1974 il radiotelescopio di Arecibo inviò verso M13 un messaggio codificato sulla vita terrestre. Quando il segnale raggiungerà la zona dell'ammasso, fra circa 25.000 anni, M13 si sarà già spostato lungo la propria orbita.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-13/",1
"messier-M14","Nel 1938 una nova esplose in M14, ma nessuno la segnalò in diretta. Fu riconosciuta soltanto nel 1964, confrontando lastre fotografiche d'archivio scattate decenni prima.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-14/",1
"messier-M15","M15 contiene Pease 1, la prima nebulosa planetaria identificata dentro un ammasso globulare. È un reperto rarissimo perché questa fase stellare dura poco rispetto all'età plurimiliardaria del sistema.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-15/",1
"messier-M16","Le Colonne della Creazione sono torri di gas e polvere dentro M16, lunghe diversi anni luce. Le immagini Hubble del 1995 le hanno rese iconiche, ma le colonne sono anche incubatrici sottoposte all'erosione delle stelle appena nate.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-16/",1
"messier-M17","La parte luminosa di M17 è solo una piccola porzione di una nube molecolare molto più estesa. Il giovane ammasso nascosto al suo interno illumina e scava il gas, creando la sagoma del Cigno visibile dalla Terra.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-17/",1
"messier-M18","M18 è un ammasso molto giovane, nato circa 30 milioni di anni fa. Le sue poche decine di stelle mostrano quanto rapidamente un ammasso aperto possa disperdersi sotto l'azione della Galassia e degli incontri gravitazionali.","Wikipedia","https://en.wikipedia.org/wiki/Messier_18",1
"messier-M19","M19 è il globulare più appiattito del catalogo Messier. Parte dell'effetto potrebbe dipendere dalla polvere interstellare, ma anche le forti maree del centro galattico vicino contribuiscono alla sua forma insolita.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-19/",1
"messier-M20","M20 riunisce nello stesso campo una nebulosa a emissione rossa, una regione a riflessione azzurra e corsie di polvere scura. Le tre bande che ne sezionano il centro ispirarono a John Herschel il nome Trifida.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-20/",1
"messier-M21","Le stelle di M21 hanno appena circa 4,6 milioni di anni: su scala astronomica l'ammasso è quasi neonato. Non contiene ancora giganti rosse, perché nessuna delle sue stelle ha avuto il tempo di raggiungere quella fase.","Wikipedia","https://en.wikipedia.org/wiki/Messier_21",1
"messier-M22","M22 fu riconosciuto da Abraham Ihle nel 1665 ed è il primo ammasso globulare scoperto. Molto più tardi si è scoperto che racchiude anche una rara nebulosa planetaria e indizi di più generazioni stellari.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-22/",1
"messier-M23","M23 comprende circa 150 stelle distribuite su un'area più larga della Luna piena. La polvere davanti all'ammasso attenua e arrossa la sua luce, modificando i colori che arrivano fino a noi.","Wikipedia","https://en.wikipedia.org/wiki/Messier_23",1
"messier-M24","M24 non è un vero ammasso: è una finestra relativamente libera nella polvere galattica. Attraverso questo varco si osserva un tratto profondo del braccio del Sagittario, affollato da migliaia di stelle sovrapposte.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-24/",1
"messier-M25","M25 ospita U Sagittarii, una variabile Cefeide il cui ritmo di pulsazione rivela la luminosità reale. Stelle come questa hanno permesso di costruire la scala delle distanze cosmiche.","Wikipedia","https://en.wikipedia.org/wiki/Messier_25",1
"messier-M26","Il centro di M26 appare stranamente povero di stelle. Non è necessariamente vuoto: una nube di polvere interstellare fra noi e l'ammasso potrebbe nasconderne proprio la regione centrale.","Wikipedia","https://en.wikipedia.org/wiki/Messier_26",1
"messier-M27","Scoperta da Messier nel 1764, M27 fu la prima nebulosa planetaria mai identificata. Il nome non ha a che fare con i pianeti: descrive l'aspetto tondeggiante che questi gusci stellari mostravano nei primi telescopi.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-27/",1
"messier-M28","Nel 1987 M28 divenne il primo ammasso globulare in cui fu scoperta una pulsar al millisecondo. La stella di neutroni ruota centinaia di volte al secondo, accelerata in passato dal trasferimento di materia di una compagna.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-28/",1
"messier-M29","La polvere del Cigno oscura M29 in modo così irregolare che distanza ed età sono rimaste a lungo incerte. Senza quell'assorbimento, diverse sue stelle apparirebbero molte volte più luminose.","Wikipedia","https://en.wikipedia.org/wiki/Messier_29",1
"messier-M30","In M30 esistono due sequenze distinte di blue straggler. Una sembra prodotta da collisioni stellari durante il collasso del nucleo, l'altra dal trasferimento di materia in sistemi binari.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-30/",1
"messier-M31","La prima descrizione nota di M31 risale al Libro delle stelle fisse di al-Sufi, nel 964, dove compare come una piccola nube. È la testimonianza scritta più antica di una galassia esterna alla Via Lattea.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-31/",1
"messier-M32","M32 potrebbe essere il nucleo sopravvissuto di una galassia un tempo più grande. Gli incontri ravvicinati con Andromeda avrebbero strappato gran parte delle sue stelle esterne, lasciando un sistema insolitamente compatto.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-32/",1
"messier-M33","NGC 604, in un braccio di M33, è una delle più grandi regioni di formazione stellare del Gruppo Locale. È circa cento volte più estesa della Nebulosa di Orione e contiene centinaia di stelle massicce giovani.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-33/",1
"messier-M34","M34 fu probabilmente osservato da Giovanni Battista Hodierna prima del 1654, oltre un secolo prima dell'inserimento nel catalogo di Messier. È uno dei numerosi casi in cui scoperte precoci furono riscoperte indipendentemente.","Wikipedia","https://en.wikipedia.org/wiki/Messier_34",1
"messier-M35","Nello stesso campo di M35 si trova NGC 2158, molto più lontano e circa dieci volte più vecchio. Il confronto mostra subito come distanza ed evoluzione cambino densità e colore apparente di due ammassi aperti.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-35/",1
"messier-M36","Fra i tre grandi ammassi aperti dell'Auriga, M36 è il più giovane. Le sue stelle più luminose hanno appena circa 25 milioni di anni e non si sono ancora evolute in giganti rosse numerose.","Wikipedia","https://en.wikipedia.org/wiki/Messier_36",1
"messier-M37","M37 è il più ricco dei tre ammassi Messier dell'Auriga e contiene diverse giganti rosse. La loro presenza segnala un'età maggiore rispetto al vicino M36, dominato da stelle giovani azzurre.","Wikipedia","https://en.wikipedia.org/wiki/Messier_37",1
"messier-M38","Poco distante da M38 appare NGC 1907, più piccolo e compatto. Le misure dei loro moti indicano che i due ammassi stanno attraversando la stessa regione senza essere nati come una coppia legata.","Wikipedia","https://en.wikipedia.org/wiki/Messier_38",1
"messier-M39","M39 è così vicino e disperso che raccoglie soltanto una trentina di membri confermati in un campo molto ampio. La sua forma triangolare emerge meglio a basso ingrandimento che in un telescopio stretto.","Wikipedia","https://en.wikipedia.org/wiki/Messier_39",1
"messier-M40","M40 non è una nebulosa né un ammasso, ma una coppia ottica di stelle non legate. Messier la registrò cercando una nebulosa segnalata da Hevelius che, in quella posizione, probabilmente non esisteva.","Wikipedia","https://en.wikipedia.org/wiki/Winnecke_4",1
"messier-M41","M41 potrebbe essere la macchia celeste descritta da Aristotele intorno al 325 a.C. Se l'identificazione è corretta, sarebbe uno degli ammassi stellari con la più antica osservazione documentata.","Wikipedia","https://en.wikipedia.org/wiki/Messier_41",1
"messier-M42","Nel centro di M42 brilla il Trapezio, un gruppo di stelle massicce giovanissime. La loro radiazione ionizza il gas circostante e sta contemporaneamente illuminando ed erodendo la nube che le ha generate.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-42/",1
"messier-M43","M43 fa fisicamente parte della grande nube di Orione, ma una fascia di polvere la separa visivamente da M42. La stella NU Orionis illumina questa porzione come un centro autonomo.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-43/",1
"messier-M44","Galileo puntò il cannocchiale verso M44 nel 1609 e risolse la nebulosità a occhio nudo in circa quaranta stelle. Fu una dimostrazione precoce che molte macchie del cielo erano popolazioni stellari.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-44/",1
"messier-M45","In Giappone le Pleiadi sono Subaru, nome adottato anche dalla casa automobilistica e rappresentato nel suo logo. La nebulosità azzurra non è il residuo natale dell'ammasso: è polvere che le stelle stanno attraversando.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-45/",1
"messier-M46","La nebulosa planetaria NGC 2438 sembra immersa in M46, ma è solo un allineamento prospettico: si trova molto più vicina a noi. È un esempio particolarmente convincente di profondità nascosta in un campo bidimensionale.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-46/",1
"messier-M47","M47 fu considerato perduto per oltre un secolo a causa di un errore di segno nelle coordinate pubblicate da Messier. L'ammasso fu riconosciuto nuovamente solo quando si ricostruì il suo percorso di osservazione.","Wikipedia","https://en.wikipedia.org/wiki/Messier_47",1
"messier-M48","Anche M48 divenne un oggetto perduto: una declinazione errata lo spostava di circa cinque gradi. La correzione moderna ha identificato l'ammasso con NGC 2548.","Wikipedia","https://en.wikipedia.org/wiki/Messier_48",1
"messier-M49","M49 fu la prima galassia dell'Ammasso della Vergine scoperta da Messier, nel 1771. È una gigante ellittica con un vasto sistema di ammassi globulari e un buco nero supermassiccio centrale.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-49/",1
"messier-M50","Una gigante rossa molto evidente contrasta con le stelle bianco-azzurre di M50. L'insieme è stato soprannominato Ammasso a Cuore per una sagoma che dipende soprattutto dai membri più luminosi.","Wikipedia","https://en.wikipedia.org/wiki/Messier_50",1
"messier-M51","Nel 1845 Lord Rosse riconobbe in M51 la prima struttura a spirale osservata in una nebulosa. All'epoca non era ancora chiaro che quelle spirali fossero galassie esterne alla Via Lattea.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-51/",1
"messier-M52","M52 si trova sulla stessa linea di vista della Nebulosa Bolla, ma i due oggetti non sono necessariamente vicini nello spazio. La forte estinzione di Cassiopea rende incerta persino la distanza precisa dell'ammasso.","Wikipedia","https://en.wikipedia.org/wiki/Messier_52",1
"messier-M53","M53 è uno dei globulari più lontani dal centro della Via Lattea e ha pochissimi elementi pesanti. La sua composizione conserva quindi una firma chimica delle prime epoche della Galassia.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-53/",1
"messier-M54","M54 non appartiene probabilmente all'alone originario della Via Lattea: risiede nel nucleo della Galassia Nana Ellittica del Sagittario, che la nostra Galassia sta inglobando. È dunque un globulare acquisito in una fusione.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-54/",1
"messier-M55","M55 ha un nucleo poco concentrato, quindi le sue stelle si risolvono più facilmente rispetto a molti globulari. Contiene inoltre decine di variabili, utili per ricostruirne distanza ed evoluzione.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-55/",1
"messier-M56","L'orbita retrograda e la composizione di M56 suggeriscono che possa essere arrivato da una piccola galassia assorbita dalla Via Lattea. Il suo moto conserva la traccia dinamica di quell'antica fusione.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-56/",1
"messier-M57","La Nebulosa Anello non è un semplice anello piatto. Le ricostruzioni tridimensionali descrivono una struttura simile a un barile o a una ciambella, osservata quasi lungo il proprio asse.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-57/",1
"messier-M58","M58 è una delle sole quattro galassie a spirale barrata presenti nel catalogo Messier. Il suo nucleo attivo ospita un buco nero supermassiccio che accresce materia.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-58/",1
"messier-M59","M59 appare ellittica e regolare, ma il suo centro contiene un buco nero di massa enorme rispetto alla galassia. Attorno ad essa orbitano inoltre migliaia di ammassi globulari.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-59/",1
"messier-M60","Accanto a M60 si trova M60-UCD1, una galassia ultracompatta con densità stellare estrema e un buco nero centrale sproporzionato. Potrebbe essere il nucleo spogliato di una galassia più grande.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-60/",1
"messier-M61","M61 è stata teatro di numerose supernovae osservate, più della maggior parte delle galassie Messier. Il suo nucleo attivo e le regioni di formazione stellare indicano un sistema ancora molto dinamico.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-61/",1
"messier-M62","La forma di M62 è visibilmente asimmetrica. La vicinanza al centro galattico sottopone l'ammasso a intense forze mareali, che comprimono e deformano la distribuzione delle sue stelle.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-62/",1
"messier-M63","Una tenue corrente di stelle avvolge M63 per decine di migliaia di anni luce. È il residuo di una galassia nana lacerata e assorbita, una fusione ancora leggibile nella periferia del Girasole.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-63/",1
"messier-M64","In M64 il gas delle regioni esterne ruota in senso opposto al gas e alle stelle interne. Questa contro-rotazione è probabilmente l'eredità di una piccola galassia ricca di gas inglobata in passato.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-64/",1
"messier-M65","M65 forma con M66 e NGC 3628 il Tripletto del Leone. Pur apparendo meno perturbata delle compagne, il suo disco mostra deformazioni compatibili con le reciproche interazioni gravitazionali.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-65/",1
"messier-M66","Un braccio di M66 è vistosamente deformato e il nucleo risulta spostato rispetto alla simmetria del disco. Il vicino passaggio di NGC 3628 ha rimodellato la galassia e innescato nuova formazione stellare.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-66/",1
"messier-M67","M67 ha un'età di circa quattro miliardi di anni e una composizione simile a quella solare. Per questo è un laboratorio privilegiato per confrontare l'evoluzione del Sole con stelle nate quasi nello stesso periodo.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-67/",1
"messier-M68","M68 segue un'orbita molto eccentrica e retrograda rispetto alla rotazione galattica. Questo comportamento, insieme alla bassa metallicità, suggerisce un'origine in un sistema successivamente catturato.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-68/",1
"messier-M69","M69 è fra i globulari più ricchi di elementi pesanti del catalogo Messier. La sua posizione nel rigonfiamento galattico racconta un ambiente di formazione diverso dai globulari poveri di metalli dell'alone.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-69/",1
"messier-M70","Alan Hale e Thomas Bopp scoprirono indipendentemente la cometa Hale-Bopp nel 1995 mentre osservavano la regione vicina a M70. Il globulare divenne così il riferimento casuale di una delle comete più celebri del Novecento.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-70/",1
"messier-M71","Per molto tempo M71 fu classificato ora come ammasso aperto, ora come globulare, perché è poco concentrato e relativamente ricco di metalli. Le misure moderne lo collocano fra i globulari più giovani e insoliti.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-71/",1
"messier-M72","M72 è uno dei globulari più lontani inseriti da Messier. La grande distanza ne comprime l'aspetto in una macchia debole, anche se in realtà contiene una popolazione stellare vasta e molto antica.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-72/",1
"messier-M73","Le quattro stelle di M73 sembrano un piccolo ammasso, ma distanze e moti misurati mostrano che non formano un sistema fisico. È un asterismo nato da un allineamento casuale lungo la linea di vista.","Wikipedia","https://en.wikipedia.org/wiki/Messier_73",1
"messier-M74","M74 è una spirale grand design quasi perfettamente frontale, ma ha una luminosità superficiale molto bassa. Questa combinazione la rende fotogenica e, allo stesso tempo, uno degli oggetti Messier più difficili da vedere.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-74/",1
"messier-M75","M75 possiede uno dei nuclei più concentrati fra i globulari Messier. La luce cresce rapidamente verso il centro, dove la densità di stelle è molto superiore a quella dell'alone esterno.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-75/",1
"messier-M76","M76 ha ricevuto più nomi di quasi ogni altra nebulosa planetaria: Piccola Manubrio, Tappo di Sughero e Farfalla. I due lobi luminosi sono le pareti di una struttura espulsa da una stella morente.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-76/",1
"messier-M77","Il centro di M77 è uno dei nuclei galattici attivi più vicini. Un buco nero supermassiccio, nascosto da un toro di polvere, alimenta emissioni tanto intense da rendere la galassia il prototipo delle Seyfert di tipo 2.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-77/",1
"messier-M78","M78 è la nebulosa a riflessione più brillante del cielo. La sua polvere non emette luce propria: diffonde il bagliore azzurro di giovani stelle e circonda getti Herbig-Haro prodotti da astri ancora in formazione.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-78/",1
"messier-M79","M79 si trova sul lato opposto del cielo rispetto al centro galattico, una posizione insolita per un globulare. La sua orbita ha alimentato l'ipotesi che sia stato acquisito durante la fusione con una galassia nana.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-79/",1
"messier-M80","M80 è uno dei globulari più densi della Via Lattea. Nel 1860 vi apparve la nova T Scorpii, che per alcuni giorni raggiunse una luminosità paragonabile a quella dell'intero ammasso.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-80/",1
"messier-M81","Il nucleo di M81 contiene un buco nero di circa 70 milioni di masse solari. L'interazione con M82 ha inoltre tracciato lunghi ponti di idrogeno fra le due galassie e alimentato nuova attività stellare.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-81/",1
"messier-M82","Il passaggio ravvicinato di M81 ha trasformato M82 in una galassia starburst. Nel suo centro nascono stelle a un ritmo molte volte superiore a quello della Via Lattea, mentre getti di gas caldo fuoriescono dal disco.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-82/",1
"messier-M83","M83 è una fabbrica di supernovae: nel secolo scorso ne sono state osservate almeno sei. Le numerose regioni rosa lungo i bracci rivelano una formazione stellare particolarmente intensa.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-83/",1
"messier-M84","M84 si trova nella Catena di Markarian e ospita un nucleo attivo. Un getto relativistico emerge dalla regione del buco nero centrale, anche se è molto meno appariscente di quello della vicina M87.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-84/",1
"messier-M85","L'aspetto liscio di M85 nasconde una storia di fusioni: gusci stellari, polvere e una popolazione centrale relativamente giovane indicano che la galassia ha inglobato una compagna in tempi astronomicamente recenti.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-85/",1
"messier-M86","M86 si avvicina a noi a centinaia di chilometri al secondo, nonostante appartenga all'Ammasso della Vergine. Attraversando il gas caldo dell'ammasso lascia dietro di sé una coda di materia lunga centinaia di migliaia di anni luce.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-86/",1
"messier-M87","Nel 2019 il buco nero di M87 divenne il primo di cui fu ottenuta un'immagine dell'ombra con l'Event Horizon Telescope. Ha una massa di miliardi di Soli e alimenta un getto visibile per migliaia di anni luce.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-87/",1
"messier-M88","M88 sta precipitando verso il centro dell'Ammasso della Vergine lungo un'orbita molto allungata. La pressione del gas intergalattico comincia a modificarne il contenuto di idrogeno e quindi il futuro della formazione stellare.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-88/",1
"messier-M89","M89 sembra quasi una sfera perfetta, ma fotografie profonde mostrano gusci e pennacchi molto tenui. Sono cicatrici lasciate da piccole galassie inglobate nel passato.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-89/",1
