object_id,short_description,observing_notes,best_seen,difficulty_naked_eye,difficulty_binocular,difficulty_small_scope,difficulty_medium_scope,difficulty_large_scope
messier-M2,"M2 è un ammasso globulare in Acquario. È un globulare antico e compatto, lontano dal piano della Via Lattea; appare prima come una macchia densa, poi lentamente lascia intuire il bordo granuloso.","M2 è già evidente a basso ingrandimento come un disco compatto. Porta poi la potenza a un livello medio-alto: il bordo si scompone in stelle, mentre il nucleo luminoso rimane quasi irrisolto.",Estate e autunno boreali (inverno e primavera australi),Difficile,Media,Media,Facile,Facile
messier-M3,M3 è uno dei più grandi e ricchi ammassi globulari del cielo boreale e contiene una popolazione eccezionalmente numerosa di stelle variabili. A basso ingrandimento mostra un nucleo luminoso immerso in un alone rotondo; con aperture medie il bordo comincia a risolversi in una fitta granulosità. È un ottimo esempio di come la risoluzione aumenti gradualmente dal margine verso il centro.,"Centralo a basso ingrandimento, poi sali finché le stelle periferiche iniziano a separarsi senza rendere il nucleo troppo scuro.",Primavera boreale (autunno australe),Difficile,Media,Media,Facile,Facile
messier-M4,"M4 è uno degli ammassi globulari più vicini al Sistema Solare e si trova poco a ovest di Antares. È meno concentrato di molti altri globulari e, con apertura sufficiente, mostra una caratteristica barra di stelle che attraversa la regione centrale. La bassa altezza sull'orizzonte da molte località boreali può limitarne la resa.",Cercalo vicino ad Antares quando culmina; usa ingrandimenti medi per riconoscere la barra centrale e risolvere la periferia.,Estate boreale (inverno australe),Difficile,Media,Media,Facile,Facile
messier-M5,"M5 (Ammasso della Rosa) è un ammasso globulare in Serpente. È uno dei globulari più belli per telescopi amatoriali: luminoso, ampio e capace di trasformarsi da batuffolo a campo stellare granuloso.","Lascia spazio al grande alone di M5 con un campo medio, poi aumenta finché le stelle periferiche si dispongono in archi e filamenti. È abbastanza luminoso da reggere potenze elevate quando il seeing è stabile.",Primavera ed estate boreali (autunno e inverno australi),Difficile,Media,Media,Facile,Facile
messier-M6,"M6 (Ammasso della Farfalla) è un ammasso aperto in Scorpione. Il soprannome Ammasso della Farfalla non è casuale: le stelle più luminose disegnano una figura aperta e leggera, molto piacevole a basso ingrandimento.",Prismatici o un telescopio a bassa potenza mostrano meglio le due ali della Farfalla; cerca il tono arancio di BM Scorpii fra le stelle più azzurre e osserva quando l'ammasso culmina su un orizzonte meridionale limpido.,Estate boreale (inverno australe),Media,Facile,Facile,Facile,Facile
messier-M7,"M7 (Ammasso di Tolomeo) è un ammasso aperto in Scorpione. È noto fin dall'antichità e riempie il campo con una ricchezza stellare evidente; basso sull'orizzonte, diventa magnifico solo con sud libero e cielo trasparente.","È già una macchia stellare a occhio nudo: usa prismatici o un campo telescopico di almeno 2° per contenere l'ammasso e il ricco fondo della Via Lattea. Dalle latitudini boreali osservalo alla culminazione, con il sud perfettamente libero.",Estate boreale (inverno australe),Media,Facile,Facile,Facile,Facile
messier-M8,"M8 (Nebulosa Laguna) è una nebulosa con ammasso stellare in Sagittario. La Laguna è una vera regione di formazione stellare: stelle giovani, gas luminoso e strutture scure convivono nello stesso campo.","M8 supera il campo di molti oculari: usa il minimo ingrandimento per includere ammasso, Laguna e corsia scura. Con un UHC il gas e la regione della Clessidra acquistano contrasto; senza filtro tornano protagoniste le stelle di NGC 6530.",Estate boreale (inverno australe),Difficile,Media,Media,Facile,Facile
messier-M9,"M9 è un ammasso globulare in Ofiuco. È un globulare proiettato verso il centro della Via Lattea, quindi spesso immerso in campi ricchi e in una zona di cielo non sempre facile.","M9 culmina basso per molti osservatori e la polvere verso il centro galattico ne smorza l'alone. Scegli una notte trasparente, localizzalo a bassa potenza e usa un aumento medio solo dopo aver fissato il debole bordo.",Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
messier-M10,"M10 è un ammasso globulare in Ofiuco. Fa coppia ideale con M12 in Ofiuco: è più compatto e dà il meglio quando l'ingrandimento inizia a separare il bordo esterno. La visione distolta mostra l'estensione dell'alone, mentre un ingrandimento medio aiuta a cogliere la tessitura delle regioni esterne.",Osserva M10 e M12 nella stessa sessione: M10 mostra un centro più deciso e una forma più compatta. Un aumento medio risolve bene la periferia senza sacrificare il largo alone.,Estate boreale (inverno australe),Difficile,Media,Media,Facile,Facile
messier-M11,"M11, l'Ammasso dell'Anitra Selvatica, è uno degli ammassi aperti più ricchi e compatti del catalogo Messier. A basso ingrandimento può sembrare quasi una nube granulosa; aumentando la potenza si trasforma in una folla di stelle addensate attorno a una componente più luminosa. La sua densità lo fa apparire molto diverso dagli ammassi aperti più sparsi.","Usa prima un campo medio per coglierne la forma compatta, poi aumenta l'ingrandimento per risolvere la tessitura stellare.",Estate boreale (inverno australe),Non realistico,Media,Facile,Facile,Facile
messier-M12,M12 è un ammasso globulare in Ofiuco. È meno concentrato e più aperto di M10; studi moderni suggeriscono che abbia perso molte stelle di piccola massa durante i passaggi nella Galassia.,"M12 è più aperto e meno concentrato del vicino M10. Mantieni un campo medio e usa la visione distolta: le stelle si staccano presto dall'alone, ma il centro non forma un nucleo nettamente dominante.",Estate boreale (inverno australe),Difficile,Media,Media,Facile,Facile
messier-M13,"M13, il Grande Ammasso di Ercole, è il globulare più celebre del cielo boreale. Già in piccoli strumenti appare come una sfera luminosa ben concentrata; con aperture medie e buon seeing la periferia si risolve in innumerevoli stelle e possono emergere sottili catene scure, tra cui la cosiddetta Propeller. È uno dei bersagli migliori per capire quanto contino apertura, messa a fuoco e pazienza.",Centralo a basso ingrandimento e sali progressivamente; cerca prima la risoluzione del bordo e solo dopo le strutture più fini nel nucleo.,Primavera ed estate boreali (autunno e inverno australi),Difficile,Facile,Facile,Facile,Facile
messier-M14,"M14 è un ammasso globulare in Ofiuco. È meno immediato dei globulari più famosi, ma contiene una popolazione stellare enorme; richiede buio e pazienza per uscire dal fondo cielo.","M14 è ricco ma poco contrastato nel campo dell'Ofiuco. Trovalo con un ingrandimento basso, quindi prova una potenza media e la visione distolta; per sgranare il bordo servono apertura e cielo davvero scuro.",Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
messier-M15,"M15 (Grande Ammasso di Pegaso) è un ammasso globulare in Pegaso. Ha uno dei nuclei più concentrati tra i globulari Messier, così denso da sembrare quasi puntiforme prima che il bordo si apra in stelle.","Il nucleo quasi stellare di M15 accetta ingrandimenti elevati, ma osserva prima a bassa potenza per non perdere l'alone esteso. Con seeing stabile, cerca la brusca crescita di luminosità verso il centro collassato.",Autunno boreale (primavera australe),Difficile,Media,Media,Facile,Facile
messier-M16,"M16 (Nebulosa Aquila) è una nebulosa a emissione con ammasso stellare in Serpente. L'Aquila è famosa per i Pilastri della Creazione fotografati da Hubble, ma all'oculare l'ammasso è spesso più evidente della nebulosità.","In M16 l'ammasso NGC 6611 è evidente senza filtro, mentre la nebulosità richiede basso ingrandimento, cielo scuro e UHC. Confronta le viste mantenendo lo stesso oculare e la stessa pupilla d'uscita; cerca il profilo dell'Aquila e le bande scure. I Pilastri della Creazione non sono un dettaglio realistico per la maggior parte degli strumenti visuali.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M17,"M17, la Nebulosa Omega o Cigno nel Sagittario, è una grande regione di formazione stellare con un ammasso centrale giovanissimo. Molte delle sue stelle rimangono nascoste dalla polvere; la loro radiazione scolpisce ed erode le nubi. Il profilo luminoso che ricorda un cigno è solo parte del complesso.","M17 mostra già senza filtro la barra del Cigno; un UHC amplia il corpo e rende più netto il collo contro la corsia scura. Alterna basso e medio ingrandimento: il primo segue la nebulosità esterna, il secondo evidenzia increspature nella regione luminosa.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M18,"M18 (Ammasso del cigno nero) è un ammasso aperto in Sagittario. È un ammasso piccolo e discreto, spesso osservato di passaggio tra M17 e M24; il suo valore sta nel contesto ricchissimo del Sagittario.","Inseriscilo nello stesso percorso a bassa potenza fra M17 e la nube stellare M24, poi passa a un ingrandimento medio per distinguere il piccolo gruppo dal fondo del Sagittario. La sua struttura è rada: non aspettarti la ricchezza dei vicini più celebri.",Estate boreale (inverno australe),Non realistico,Media,Facile,Facile,Facile
messier-M19,"M19 è un ammasso globulare in Ofiuco. È un globulare dalla forma leggermente allungata, più interessante di quanto sembri a prima vista quando il seeing permette di alzare l'ingrandimento.","A ingrandimento medio M19 non è perfettamente rotondo: confronta i due assi dell'alone con visione distolta. La bassa altezza e l'estinzione possono mascherare l'allungamento, quindi attendi la culminazione.",Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
messier-M20,"M20, la Nebulosa Trifida nel Sagittario, prende il nome dalle bande di polvere che dividono la nebulosità luminosa in tre settori apparenti. Le stelle massicce nate al centro irradiano il gas circostante e ne hanno già sgombrato una parte: il paesaggio mostra insieme nascita stellare ed erosione della nube.","Osserva M20 a basso ingrandimento insieme al suo ammasso. Un UHC rende più netta la regione a emissione e le tre corsie scure centrali, ma attenua il lobo azzurro a riflessione: il confronto con la vista senza filtro è parte dell'osservazione.",Estate boreale (inverno australe),Non realistico,Difficile,Difficile,Media,Facile
messier-M21,"M21 (Ammasso Croce di Webb) è un ammasso aperto in Sagittario. È il piccolo compagno stellare della Trifida, meno famoso ma utile per dare respiro al campo e completare la zona di M20.","A bassissima potenza puoi inquadrarlo insieme alla Nebulosa Trifida; centra poi M21 senza filtro e sali moderatamente per leggere la Croce di Webb. Un filtro nebulare può aiutare M20, ma attenua inutilmente le stelle dell'ammasso.",Estate boreale (inverno australe),Non realistico,Media,Facile,Facile,Facile
messier-M22,"M22 è uno dei globulari più luminosi e spettacolari visibili dalle medie latitudini boreali. È ampio, relativamente poco concentrato e si risolve con facilità maggiore rispetto a molti ammassi simili, soprattutto quando è alto sull'orizzonte. In un telescopio medio può riempire il campo di stelle, con un nucleo meno compatto di M13.",Osservalo alla culminazione con ingrandimenti medi; la periferia ampia e ricca merita un campo non troppo stretto.,Estate boreale (inverno australe),Difficile,Facile,Facile,Facile,Facile
messier-M23,"M23 è un ammasso aperto in Sagittario. È un ammasso ampio e ricco, immerso nella Via Lattea estiva; rende meglio quando lasci spazio intorno invece di spingerlo troppo con gli ingrandimenti.","Usa un campo di almeno 1° per separare il bordo di M23 dal fondo della Via Lattea e seguire le sue catene sinuose. Un aumento medio fa emergere le componenti più fini, ma evita filtri e potenze che spezzino la figura complessiva.",Estate boreale (inverno australe),Media,Facile,Facile,Facile,Facile
messier-M24,"M24 (Piccola Nube Stellare del Sagittario) è una nube stellare della Via Lattea in Sagittario. Non è un ammasso singolo ma una nube stellare, una finestra luminosa verso regioni interne della Galassia. È pensato per binocoli e bassi ingrandimenti.","Preferisci binocolo o bassissimo ingrandimento: il valore è l'ampiezza della nube stellare, non il dettaglio minuto.",Estate boreale (inverno australe),Media,Facile,Facile,Media,Media
messier-M25,"M25 è un ammasso aperto in Sagittario. È un ammasso aperto luminoso e rilassante, con stelle abbastanza sparse da disegnare subito una struttura; nel campo spicca anche una variabile Cefeide.","Parti con poca potenza per seguire l'intera figura larga e irregolare; al centro identifica U Sagittarii, la Cefeide del gruppo, e confrontala nelle visite successive. Gli ingrandimenti elevati isolano stelle singole ma fanno perdere il disegno dell'ammasso.",Estate boreale (inverno australe),Media,Facile,Facile,Facile,Facile
messier-M26,"M26, NGC 6694, è un ammasso aperto nello Scudo, a sud-sudovest del più appariscente M11. Le sue stelle principali sono già piuttosto deboli e l’insieme occupa circa metà del diametro della Luna piena. È un gruppo giovane, di circa 85 milioni di anni, da distinguere con cura dal ricco campo galattico.","Un ingrandimento medio stacca il nucleo compatto dal ricco campo dello Scudo. Con cielo buio e visione periferica cerca la zona povera di stelle accanto al centro, prodotta dall'assorbimento della polvere; un filtro nebulare non migliora l'ammasso.",Estate boreale (inverno australe),Non realistico,Media,Media,Facile,Facile
messier-M27,"M27, la Nebulosa Manubrio, è una delle nebulose planetarie più grandi e luminose del cielo. La parte centrale ricorda un manubrio o una clessidra, mentre sotto cieli scuri l'alone esterno rende la forma più ovale. Risponde bene ai filtri nebulari e sopporta ingrandimenti diversi, diventando un bersaglio molto istruttivo.","Parti da basso ingrandimento per l'estensione completa, poi prova UHC e OIII e sali moderatamente per studiare la zona centrale.",Estate e autunno boreali (inverno e primavera australi),Non realistico,Media,Media,Facile,Facile
messier-M28,"M28 è un ammasso globulare in Sagittario. È un globulare compatto vicino al cuore del Sagittario; meno scenografico di M22, ma interessante per la sua densità e per il campo stellare circostante.",Parti dalla luminosa Kaus Borealis per raggiungere M28. Il globulare è piccolo e concentrato: un aumento medio-alto scurisce il ricco fondo del Sagittario e rende più evidente la granulosità attorno al nucleo.,Estate boreale (inverno australe),Non realistico,Difficile,Media,Media,Facile
messier-M29,"M29 (Ammasso Torre di Raffreddamento) è un ammasso aperto in Cigno. È piccolo e un po' nascosto dalla polvere del Cigno; non impressiona per numero di stelle, ma sta in una regione estiva molto piacevole da esplorare.","Parti da Gamma Cygni e usa un ingrandimento medio: le componenti più luminose formano la caratteristica Torre di Raffreddamento. Mantieni abbastanza campo per riconoscere il gruppo nel fondo affollato, ma non aspettarti una popolazione numerosa a causa dell'estinzione interstellare.",Estate boreale (inverno australe),Non realistico,Media,Facile,Facile,Facile
messier-M30,"M30 (Ammasso Medusa) è un ammasso globulare in Capricorno. È un globulare compatto e basso, con un nucleo brillante e code stellari che diventano visibili solo quando il cielo collabora.","M30 ha un centro molto concentrato da cui sembrano partire brevi catene stellari. Usa un aumento medio-alto e prova la visione diretta sul nucleo, alternandola alla distolta per seguire le propaggini più deboli.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Media,Facile
messier-M31,"M31, la Galassia di Andromeda, è la grande spirale più vicina alla Via Lattea e l'oggetto più lontano normalmente visibile a occhio nudo. Binocolo e piccoli telescopi mostrano soprattutto il nucleo brillante e un alone allungato molto più esteso del campo; sotto cieli scuri compaiono le bande di polveri e le galassie satelliti M32 e M110. La sua vera dimensione si apprezza meglio con bassi ingrandimenti.","Usa binocolo o il campo più ampio disponibile; cerca M32 e M110 e, con cielo scuro, segui le bande di polveri sul lato nord-occidentale.",Autunno boreale (primavera australe),Media,Facile,Facile,Facile,Facile
messier-M32,"M32 (Satellite di Andromeda n. 1) è una galassia ellittica nana in Andromeda. È la piccola compagna ellittica di Andromeda: nel campo di M31 appare come un nucleo compatto, quasi una stella gonfia, ma è una galassia autonoma.","M32 sembra quasi una stella gonfia sul bordo luminoso di M31. Usa ingrandimento medio-alto per separare il nucleo puntiforme dal piccolo alone rotondo, poi confrontala con la molto più estesa M110; un filtro nebulare non aiuta nessuna delle tre galassie.",Autunno boreale (primavera australe),Non realistico,Difficile,Media,Facile,Facile
messier-M33,"M33 (Galassia del Triangolo o Girandola) è una galassia spirale in Triangolo. La Galassia del Triangolo è grande e vicina, ma la sua luce è distribuita su un'area enorme. Con cielo scuro diventa una delle sfide più belle a basso ingrandimento.","Per M33 servono campo larghissimo e pupilla d'uscita ampia: non cercare subito il nucleo, ma una vasta variazione del fondo cielo. Dopo aver seguito il disco a visione distolta, punta NGC 604 come nodo separato; un OIII può aiutare quel complesso H II, non la galassia nel suo insieme.",Autunno boreale (primavera australe),Non realistico,Media,Media,Facile,Facile
messier-M34,"M34 (Ammasso Spirale) è un ammasso aperto in Perseo. È un ammasso aperto largo e arioso, perfetto per passare dal binocolo al telescopio senza perdere il senso del campo stellare.",Nei prismatici appare come un gruppo ampio; al telescopio usa poca potenza per seguire le catene curve e le numerose coppie che gli danno un aspetto arioso. Solo dopo aumenta moderatamente per separare le coppie più strette.,Autunno boreale (primavera australe),Difficile,Facile,Facile,Facile,Facile
messier-M35,"M35 (Ammasso Fibbia della Scarpa) è un ammasso aperto in Gemelli. È uno degli ammassi invernali più belli: ampio, brillante e pieno di stelle. Accanto, con aperture maggiori, si intuisce il più remoto NGC 2158.","Inquadra prima l'ampia distesa di M35 a bassa potenza; nello stesso campo cerca il piccolo e remoto NGC 2158, molto più compatto e tenue. Un aumento medio rende evidente il contrasto fra i due, soprattutto con cielo scuro.",Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
messier-M36,"M36 (Ammasso Girandola) è un ammasso aperto in Auriga. È il più compatto del trio di Auriga, brillante e facile da riconoscere. Funziona bene come primo passo in una scansione degli ammassi invernali.",A potenza medio-bassa cerca la croce irregolare o girandola tracciata dalle stelle principali. Salendo un poco si separano diverse coppie; torna poi a un campo ampio per confrontarne la struttura rada con M37 e M38.,Inverno boreale (estate australe),Non realistico,Facile,Facile,Facile,Facile
messier-M37,"M37 (Ammasso Sale e Pepe) è un ammasso aperto in Auriga. È il più ricco e fine degli ammassi di Auriga: tante stelle minute, un centro denso e una sensazione più profonda rispetto ai vicini M36 e M38.","Lascia che l'occhio si adatti al buio, poi usa un aumento medio per trasformare la luminosità granulosa in una folla di stelle fini. Cerca la stella aranciata vicina al centro e confrontala con la popolazione più chiara che la circonda.",Inverno boreale (estate australe),Non realistico,Facile,Facile,Facile,Facile
messier-M38,"M38 (Ammasso Stella Marina) è un ammasso aperto in Auriga. Ha una struttura larga e irregolare, spesso descritta come una stella marina. È meno concentrato di M37, ma molto gradevole in campi ampi.",A bassa potenza segui i bracci irregolari che suggeriscono una stella marina. Cerca poi il piccolo NGC 1907 nello stesso settore di cielo e usa un aumento medio per confrontare la sua concentrazione con la trama molto più larga di M38.,Inverno boreale (estate australe),Non realistico,Media,Facile,Facile,Facile
messier-M39,"M39 (Ammasso piramidale) è un ammasso aperto in Cigno. È un ammasso sparso nel Cigno, quasi più da binocolo che da telescopio. Il suo fascino è la semplicità: poche stelle luminose in una zona estiva ricchissima.",È un bersaglio da prismatici o cercatore: lascia almeno 2° di campo per riconoscere il grande triangolo di stelle luminose. In un telescopio a campo stretto il gruppo si confonde facilmente con la Via Lattea circostante.,Estate e autunno boreali (inverno e primavera australi),Difficile,Facile,Facile,Facile,Facile
messier-M40,"M40 (Winnecke 4) è una doppia ottica in Orsa Maggiore. È una curiosità storica del catalogo: una coppia apparente di stelle, non un oggetto profondo. Vale la pena osservarla proprio per capire la logica originale di Messier.",Usa ingrandimenti bassi o medi e considerala come curiosità storica più che come bersaglio deep sky.,Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Facile,Facile
messier-M41,"M41 (Piccolo Ammasso dell'Alveare) è un ammasso aperto in Cane Maggiore. Sotto Sirio, M41 è un ammasso brillante e facile, già piacevole con strumenti piccoli. Le stelle luminose lo rendono uno dei migliori bersagli invernali rapidi.",Scendi circa 4° a sud di Sirio e usa prismatici o poca potenza: M41 si risolve subito in archi e file di stelle. Al telescopio cerca la componente arancio-rossa presso il centro senza stringere tanto il campo da perdere l'intero ammasso.,Inverno boreale (estate australe),Media,Facile,Facile,Facile,Facile
messier-M42,"M42, la Grande Nebulosa di Orione, è la più spettacolare regione di formazione stellare facilmente visibile dall'emisfero boreale. Anche da città mostra un nucleo luminoso attorno al Trapezio; sotto cieli scuri ali, archi e zone scure si estendono molto oltre la parte centrale. È un oggetto capace di offrire dettagli sia a bassi sia ad alti ingrandimenti.","Inizia senza filtro per osservare il Trapezio, poi prova UHC od OIII a basso ingrandimento per seguire le ali più deboli.",Inverno boreale (estate australe),Non realistico,Media,Media,Facile,Facile
messier-M43,"M43 (La Nebulosa di De Mairan) è una nebulosa a emissione nella regione di Orione in Orione. È la piccola regione nebulare accanto a M42, separata da una banda scura. Non va guardata da sola: il suo interesse nasce dal confronto con la grande nebulosa.",Osservala insieme a M42: il confronto tra le due regioni rende più leggibile la struttura della nebulosa.,Inverno boreale (estate australe),Non realistico,Difficile,Media,Media,Facile
messier-M44,"M44, il Presepe, è un ammasso aperto grande e vicino, visibile a occhio nudo come una chiazza luminosa sotto un buon cielo. Il binocolo lo trasforma in un campo ampio di stelle sparse, con coppie e piccoli gruppi che si distribuiscono su un'area maggiore della Luna piena. Un telescopio a lunga focale rischia di mostrarne solo una parte.",Preferisci binocolo o telescopio a campo molto ampio; mantieni l'intero ammasso nell'inquadratura.,Primavera boreale (autunno australe),Media,Facile,Facile,Facile,Facile
messier-M45,"M45, le Pleiadi, è un ammasso aperto giovane e vicino, dominato da stelle azzurre molto luminose. A occhio nudo mostra il noto piccolo grappolo; al binocolo compaiono decine di componenti e l'insieme assume una profondità notevole. La nebulosità a riflessione attorno alle stelle principali è fotografica e, visualmente, richiede cielo eccellente e grande trasparenza.",Osservale con binocolo o bassissimo ingrandimento; non usare filtri nebulari e cerca la tenue nebulosità solo sotto un cielo molto trasparente.,Autunno boreale (primavera australe),Media,Facile,Facile,Facile,Facile
messier-M46,"M46 è un ammasso aperto della Poppa, noto anche come NGC 2437. Tra le sue stelle si proietta la nebulosa planetaria NGC 2438, situata in primo piano e non appartenente all’ammasso. Il campo offre così due oggetti fisicamente diversi, la cui vicinanza apparente non racconta una nascita comune.","Osserva prima senza filtro la finissima popolazione stellare; a ingrandimento medio cerca NGC 2438 sul bordo settentrionale. Un filtro UHC o O III può far risaltare la nebulosa planetaria, ma attenua le stelle: alterna le due viste invece di trattarle come un unico bersaglio.",Inverno boreale (estate australe),Difficile,Facile,Facile,Facile,Facile
messier-M47,"M47, NGC 2422, è un ammasso aperto relativamente vicino nella Poppa. Le componenti più luminose sono soprattutto stelle calde di tipo B, intervallate da giganti rosse che introducono un netto contrasto cromatico. Le stelle visibili con piccoli strumenti rappresentano solo la parte più brillante di una popolazione molto più numerosa.","Nei prismatici appare come un gruppo grossolano e brillante; un piccolo telescopio separa bene la doppia vicina al centro. Mantieni M46 nello stesso campo, quando possibile, per confrontare le poche stelle luminose di M47 con la trama fine del vicino.",Inverno boreale (estate australe),Media,Facile,Facile,Facile,Facile
messier-M48,"M48 è un ammasso aperto in Idra. È grande, luminoso e spesso sottovalutato. Con bassi ingrandimenti mostra una struttura ampia e rilassata, ottima per cieli invernali o primaverili.",Comincia con prismatici o un oculare grandangolare per riconoscere la sagoma triangolare e le lunghe file di stelle. Passa a un aumento medio solo per esplorare la zona centrale: un campo troppo stretto fa sembrare M48 un semplice tratto della Via Lattea.,Primavera boreale (autunno australe),Difficile,Facile,Facile,Facile,Facile
messier-M49,"M49 è una galassia ellittica in Vergine. È una grande ellittica dell'ammasso della Vergine: visualmente è una luce morbida e priva di dettagli, ma rappresenta una città stellare gigantesca.","M49 è una delle galassie più accessibili della Vergine: a ingrandimento medio mostra un nucleo ampio, non stellare, che sfuma regolarmente in un alone quasi rotondo. Usa la visione distolta per misurarne l'estensione; l'assenza di bande o bracci è coerente con la sua natura ellittica.",Primavera ed estate boreali (autunno e inverno australi),Non realistico,Difficile,Media,Facile,Facile
